state,Count,Year,Location,Total Population,statecode,CountRate,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,year,TotalCoverage
AK,14150,2014,Alaska,706600,AK,0.020025474,0.48,0.05,0.16,0.07,0.07,0.18,2014,0.83
AL,7621,2014,Alabama,4714100,AL,0.001616639,0.46,0.06,0.19,0.14,0.02,0.12,2014,0.87
AZ,86065,2014,Arizona,6556200,AZ,0.013127269,0.43,0.06,0.2,0.14,0.02,0.14,2014,0.85
FL,97360,2014,Florida,19431100,FL,0.005010524,0.38,0.08,0.18,0.17,0.02,0.17,2014,0.83
GA,27738,2014,Georgia,9792900,GA,0.00283246,0.47,0.06,0.18,0.11,0.02,0.16,2014,0.84
IN,55093,2014,Indiana,6386700,IN,0.008626208,0.53,0.05,0.16,0.14,0.01,0.12,2014,0.89
LA,34208,2014,Iowa,3002100,LA,0.01139469,0.54,0.08,0.18,0.14,0.01,0.06,2014,0.95
LA,34208,2014,Louisiana,4508500,LA,0.007587446,0.45,0.06,0.22,0.12,0.02,0.15,2014,0.87
MO,14935,2014,Missouri,5870200,MO,0.002544206,0.51,0.07,0.14,0.15,0.02,0.12,2014,0.89
MS,10764,2014,Mississippi,2886800,MS,0.003728696,0.41,0.06,0.25,0.12,0.02,0.14,2014,0.86
NC,24292,2014,North Carolina,9632900,NC,0.002521774,0.44,0.07,0.18,0.14,0.03,0.13,2014,0.86
ND,14851,2014,North Dakota,708400,ND,0.020964145,0.58,0.1,0.11,0.12,0.01,0.08,2014,0.92
NJ,19490,2014,New Jersey,8756200,NJ,0.002225851,0.56,0.05,0.15,0.12,0,0.11,2014,0.88
OK,28839,2014,Oklahoma,3749500,OK,0.007691426,0.45,0.06,0.17,0.14,0.02,0.15,2014,0.84
PA,55463,2014,Pennsylvania,12368000,PA,0.004484395,0.53,0.07,0.17,0.15,0.01,0.09,2014,0.93
SC,16915,2014,South Carolina,4674300,SC,0.003618724,0.44,0.05,0.19,0.15,0.03,0.14,2014,0.86
TN,31059,2014,Tennessee,6374800,TN,0.004872153,0.46,0.07,0.2,0.14,0.02,0.12,2014,0.89
TX,50552,2014,Texas,26280100,TX,0.001923585,0.46,0.06,0.17,0.1,0.02,0.19,2014,0.81
WI,115810,2014,Wisconsin,5603600,WI,0.020667071,0.55,0.06,0.17,0.14,0.01,0.07,2014,0.93
WY,8140,2014,Wyoming,568500,WY,0.014318382,0.54,0.07,0.12,0.12,0.02,0.12,2014,0.87
AR,23143,2014,Arkansas,2880000,AR,0.008035764,0.42,0.06,0.24,0.15,0.02,0.12,2014,0.89
DE,7330,2014,Delaware,905300,DE,0.008096764,0.53,0.04,0.18,0.15,0.02,0.07,2014,0.92
IL,53079,2014,Illinois,12569400,IL,0.004222875,0.52,0.06,0.19,0.12,0.01,0.1,2014,0.9
KS,19497,2014,Kansas,2810700,KS,0.006936706,0.53,0.07,0.14,0.13,0.02,0.11,2014,0.89
ME,10836,2014,Maine,1293800,ME,0.008375328,0.47,0.05,0.22,0.15,0.01,0.1,2014,0.9
MI,34688,2014,Michigan,9682700,MI,0.003582472,0.5,0.06,0.2,0.14,0.01,0.08,2014,0.91
MT,14626,2014,Montana,993700,MT,0.014718728,0.44,0.1,0.15,0.15,0.02,0.14,2014,0.86
NH,3282,2014,New Hampshire,1286500,NH,0.002551108,0.58,0.06,0.1,0.15,0.01,0.09,2014,0.9
NM,15458,2014,New Mexico,2036700,NM,0.007589728,0.37,0.05,0.27,0.14,0.02,0.15,2014,0.85
VA,34453,2014,Virginia,8006000,VA,0.004303397,0.54,0.07,0.11,0.13,0.05,0.11,2014,0.9
WV,5190,2014,West Virginia,1791600,WV,0.002896852,0.45,0.03,0.25,0.18,0.01,0.09,2014,0.92
ID,27313,2014,Idaho,1598800,ID,0.017083438,0.46,0.1,0.15,0.13,0.02,0.13,2014,0.86
NE,23844,2014,Nebraska,1823700,NE,0.013074519,0.54,0.09,0.13,0.12,0.02,0.09,2014,0.9
OH,92298,2014,Ohio,11270300,OH,0.008189489,0.53,0.05,0.19,0.14,0.01,0.08,2014,0.92
SD,15298,2014,South Dakota,821600,SD,0.018619766,0.5,0.1,0.14,0.13,0.02,0.1,2014,0.89
UT,33099,2014,Utah,2891800,UT,0.011445812,0.58,0.08,0.11,0.09,0.01,0.12,2014,0.87
NV,0,2014,Nevada,2795200,NV,0,0.49,0.05,0.16,0.12,0.02,0.15,2014,0.84
OR,0,2014,Oregon,3889600,OR,0,0.46,0.06,0.23,0.14,0.01,0.1,2014,0.9
HI,0,2014,Hawaii,1348100,HI,0,0.55,0.04,0.17,0.14,0.05,0.05,2014,0.95
AK,10550,2016,Alaska,714900,AK,0.014757309,0.47,0.05,0.19,0.08,0.07,0.14,2016,0.86
AL,9583,2016,Alabama,4730100,AL,0.002025961,0.47,0.07,0.2,0.15,0.02,0.09,2016,0.91
AZ,43359,2016,Arizona,6760900,AZ,0.006413199,0.43,0.07,0.23,0.15,0.02,0.1,2016,0.9
FL,122308,2016,Florida,20144000,FL,0.006071684,0.39,0.1,0.19,0.17,0.02,0.13,2016,0.87
GA,70571,2016,Georgia,10001000,GA,0.007056394,0.48,0.07,0.18,0.12,0.02,0.13,2016,0.87
IN,37148,2016,Indiana,6431400,IN,0.005776036,0.53,0.06,0.18,0.14,0.01,0.08,2016,0.92
LA,25142,2016,Iowa,3030400,LA,0.008296595,0.54,0.07,0.2,0.14,0.01,0.04,2016,0.96
LA,25142,2016,Louisiana,4530500,LA,0.005549498,0.43,0.07,0.25,0.13,0.01,0.1,2016,0.89
MO,41279,2016,Missouri,5898000,MO,0.006998813,0.52,0.08,0.15,0.15,0.01,0.09,2016,0.91
MS,16609,2016,Mississippi,2887300,MS,0.005752433,0.42,0.06,0.25,0.13,0.02,0.12,2016,0.88
NC,33303,2016,North Carolina,9829900,NC,0.003387929,0.45,0.08,0.19,0.14,0.03,0.1,2016,0.89
ND,14761,2016,North Dakota,725900,ND,0.020334757,0.56,0.1,0.11,0.13,0.03,0.08,2016,0.93
NJ,38109,2016,New Jersey,8762700,NJ,0.004349002,0.56,0.06,0.17,0.13,0,0.08,2016,0.92
OK,46120,2016,Oklahoma,3800800,OK,0.012134288,0.45,0.07,0.18,0.15,0.02,0.14,2016,0.87
PA,84705,2016,Pennsylvania,12364700,PA,0.00685055,0.52,0.07,0.2,0.15,0.01,0.06,2016,0.95
SC,42694,2016,South Carolina,4805300,SC,0.008884773,0.45,0.07,0.2,0.15,0.02,0.1,2016,0.89
TN,48210,2016,Tennessee,6467700,TN,0.007453964,0.47,0.07,0.21,0.14,0.02,0.09,2016,0.91
TX,221233,2016,Texas,27178300,TX,0.00814006,0.47,0.07,0.18,0.1,0.02,0.17,2016,0.84
WI,183689,2016,Wisconsin,5623300,WI,0.032665695,0.56,0.06,0.18,0.14,0.01,0.05,2016,0.95
WY,17065,2016,Wyoming,569400,WY,0.029970144,0.52,0.09,0.13,0.13,0.03,0.11,2016,0.9
AR,17364,2016,Arkansas,2895400,AR,0.005997099,0.42,0.07,0.27,0.15,0.02,0.08,2016,0.93
DE,12673,2016,Delaware,924300,DE,0.013710916,0.52,0.06,0.19,0.16,0.01,0.06,2016,0.94
IL,133430,2016,Illinois,12491200,IL,0.01068192,0.53,0.07,0.2,0.13,0.01,0.07,2016,0.94
KS,16712,2016,Kansas,2817000,KS,0.005932552,0.54,0.08,0.14,0.13,0.02,0.08,2016,0.91
ME,28440,2016,Maine,1293800,ME,0.021981759,0.48,0.07,0.19,0.16,0.02,0.08,2016,0.92
MI,70187,2016,Michigan,9693500,MI,0.007240625,0.51,0.06,0.23,0.15,0.01,0.05,2016,0.96
MT,19493,2016,Montana,1015100,MT,0.019203034,0.43,0.1,0.21,0.16,0.02,0.08,2016,0.92
NH,21625,2016,New Hampshire,1291300,NH,0.016746689,0.57,0.06,0.13,0.16,0.01,0.06,2016,0.93
NM,12142,2016,New Mexico,2029400,NM,0.005983049,0.37,0.05,0.32,0.14,0.02,0.09,2016,0.9
VA,60168,2016,Virginia,8080900,VA,0.007445705,0.54,0.07,0.11,0.14,0.05,0.09,2016,0.91
WV,19548,2016,West Virginia,1781700,WV,0.010971544,0.43,0.04,0.29,0.18,0.01,0.05,2016,0.95
ID,0,2016,Idaho,1650700,ID,0,0.47,0.1,0.17,0.14,0.02,0.1,2016,0.9
